"county","tract","bg","cbsa","pop10","afact"
"County code","Tract","Block group","CBSA (current)","Population (2010)","bg to cbsa allocation factor"
"01039","9623.00","3"," ",935,1 
"01039","9624.00","1"," ",675,1 
"01039","9624.00","2"," ",750,1 
"01039","9624.00","3"," ",706,1 
"01039","9624.00","4"," ",1013,1 
"01039","9625.00","1"," ",683,1 
"01039","9625.00","2"," ",841,1 
"01039","9626.00","1"," ",624,1 
"01039","9626.00","2"," ",893,1 
"01039","9627.00","1"," ",890,1 
"01039","9627.00","2"," ",796,1 
"01039","9628.00","1"," ",733,1 
"01039","9628.00","2"," ",1003,1 
"01039","9629.00","1"," ",779,1 
"01039","9629.00","2"," ",1067,1 
"01039","9630.00","1"," ",1184,1 
"01039","9630.00","2"," ",724,1 
"01039","9630.00","3"," ",980,1 
"01039","9630.00","4"," ",796,1 
"01041","9634.00","1"," ",977,1 
"01041","9634.00","2"," ",948,1 
"01041","9635.00","1"," ",1903,1 
"01041","9636.00","1"," ",1334,1 
"01041","9636.00","2"," ",1423,1 
"01041","9636.00","3"," ",423,1 
"01041","9637.00","1"," ",1755,1 
"01041","9637.00","2"," ",2054,1 
"01041","9638.00","1"," ",1681,1 
"01041","9639.00","1"," ",1408,1 
"01043","9641.00","1","18980",1851,1 
"01043","9641.00","2","18980",869,1 
"01043","9641.00","3","18980",966,1 
"01043","9641.00","4","18980",838,1 
"01043","9641.00","5","18980",1058,1 
"01043","9642.00","1","18980",1484,1 
"01043","9642.00","2","18980",1358,1 
"01043","9642.00","3","18980",1235,1 
"01043","9642.00","4","18980",1236,1 
"01043","9642.00","5","18980",1145,1 
"01043","9642.00","6","18980",915,1 
"01043","9643.00","1","18980",891,1 
"01043","9643.00","2","18980",1544,1 
"01043","9643.00","3","18980",1131,1 
"01043","9643.00","4","18980",1435,1 
"01043","9644.00","1","18980",2154,1 
"01043","9644.00","2","18980",1958,1 
"01043","9645.00","1","18980",1463,1 
"01043","9645.00","2","18980",984,1 
"01043","9645.00","3","18980",1733,1 
"01043","9646.00","1","18980",1819,1 
"01043","9646.00","2","18980",1136,1 
"01043","9646.00","3","18980",1052,1 
"01043","9647.00","1","18980",1463,1 
"01043","9647.00","2","18980",1029,1 
"01043","9647.00","3","18980",2151,1 
